1,2,3,4,5,6,7,8,results
Probably No,Probably No,Probably No,No,Yes,Probably No,Probably No,No,normal
Yes,No,Probably yes,No,Probably No,No,Yes,No,normal
Yes,No,Probably yes,Probably yes,No,Yes,Probably No,Probably yes,mild
Yes,Probably No,Probably No,Probably No,Probably No,No,Yes,No,mild
Probably No,No,Probably No,No,No,Probably yes,Probably No,Probably yes,normal
Probably yes,Probably No,Probably No,No,No,Yes,Probably yes,Probably No,mild
No,No,No,No,Yes,No,No,No,normal
No,No,No,No,No,No,No,No,normal
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,extreme
Probably yes,No,Yes,Probably yes,No,Probably No,Yes,Probably No,mild
Yes,No,Probably No,Yes,No,No,No,Probably No,normal
No,Yes,Yes,Yes,Yes,Probably yes,Yes,Yes,extreme
No,Probably yes,Probably No,No,Yes,No,No,Probably No,normal
Probably yes,No,No,Probably yes,No,Yes,Probably No,Probably No,normal
No,Yes,No,No,Probably yes,No,No,Probably yes,normal
Probably No,No,Yes,Probably No,Yes,Probably yes,Probably No,Yes,mild
Probably No,Probably yes,No,Probably No,No,No,No,No,normal
Probably No,Yes,Yes,Probably No,Probably No,Yes,Probably No,Yes,severe
Probably yes,No,No,Probably yes,No,No,Probably No,No,normal
Probably No,No,No,Probably No,Probably yes,Probably yes,Probably No,Probably yes,normal
No,Yes,No,No,Yes,Yes,Probably No,No,mild
Probably No,Probably yes,Yes,Probably No,No,No,Probably No,Probably No,normal
Probably No,Probably yes,Yes,Probably No,Yes,Yes,Probably No,Yes,severe
Probably No,Probably yes,Probably yes,Probably No,Yes,Yes,Probably No,Probably No,mild
Probably yes,Probably yes,Yes,Probably yes,Probably yes,Probably yes,Probably No,No,mild
Probably No,Probably No,No,Probably No,No,Probably yes,Probably No,Probably No,normal
No,No,Probably No,No,Yes,Probably yes,No,No,normal
No,Yes,No,Yes,Yes,Yes,Yes,Yes,severe
No,No,Probably yes,No,Probably yes,Probably No,No,No,normal
No,No,Yes,No,Probably yes,No,No,No,normal
No,No,No,No,Probably yes,Yes,No,No,normal
Probably yes,Yes,Yes,Probably yes,Probably No,No,No,No,mild
Probably yes,Yes,Yes,Probably yes,Probably No,No,No,No,mild
